product_id,product_hs92_code,year,export_value,import_value,pci
955,2838,1995,39444484,39444484,0.731
956,2839,1995,333542444,333542444,-0.109
957,2840,1995,567303853,567303853,0.527
958,2841,1995,539946065,539946065,-0.573
959,2842,1995,179907799,179907799,2.17
960,2843,1995,1117701568,1117701568,0.507
961,2844,1995,4571461948,4571461948,-0.598
962,2845,1995,111140145,111140145,0.107
963,2846,1995,423334745,423334745,0.367
964,2847,1995,381785420,381785420,1.221
965,2848,1995,18367815,18367815,-0.054
966,2849,1995,789426129,789426129,0.206
967,2850,1995,224596148,224596148,1.361
968,2851,1995,197650159,197650159,-0.444
969,2901,1995,4832748312,4832748312,-0.222
970,2902,1995,10960301900,10960301900,0.171
971,2903,1995,4540677118,4540677118,0.382
972,2904,1995,612492465,612492465,0.371
973,2905,1995,8830612952,8830612952,-0.218
974,2906,1995,458295471,458295471,0.674
975,2907,1995,2284858684,2284858684,1.058
976,2908,1995,465812255,465812255,1.446
977,2909,1995,3208406533,3208406533,0.606
978,2910,1995,1305314379,1305314379,1.348
979,2911,1995,59317643,59317643,1.589
980,2912,1995,1003509670,1003509670,1.053
981,2913,1995,70819631,70819631,1.295
982,2914,1995,2837657749,2837657749,1.145
983,2915,1995,4891983878,4891983878,0.787
984,2916,1995,3502316871,3502316871,1.404
985,2917,1995,6506389054,6506389054,0.224
986,2918,1995,3617821361,3617821361,0.872
987,2919,1995,275438213,275438213,1.317
988,2920,1995,738895243,738895243,1.771
989,2921,1995,3919154082,3919154082,1.4
990,2922,1995,4856042757,4856042757,0.139
991,2923,1995,558765537,558765537,1.916
992,2924,1995,3631107999,3631107999,0.626
993,2925,1995,427900427,427900427,1.365
994,2926,1995,2677139652,2677139652,0.983
995,2927,1995,249916016,249916016,0.676
996,2928,1995,287583682,287583682,1.267
997,2929,1995,2441093972,2441093972,0.55
998,2930,1995,2566698454,2566698454,1.053
999,2931,1995,1676060352,1676060352,1.315
1000,2932,1995,2609267715,2609267715,0.259
1001,2933,1995,13547984716,13547984716,0.625
1002,2934,1995,5739783516,5739783516,1.811
1003,2935,1995,948815053,948815053,0.168
1004,2936,1995,5352634510,5352634510,0.683
